compound_id,standard_inchi_key,compound_name,bioactivities
CHEMBL75680,PRIGRJPRGZCFAS-UHFFFAOYSA-N,ALOISINE A,442
CHEMBL261425,QJKBRWSJWQVKLY-UKTHLTGXSA-N,,442
CHEMBL2218938,QMBDONCHHMIWFJ-UHFFFAOYSA-N,,442
CHEMBL286721,RAMROQQYRRQPDL-HNNXBMFYSA-N,AMINOPURVALANOL,442
CHEMBL2218925,RFHPWPWVGFSLOP-NTEUORMPSA-N,,442
CHEMBL28324,RJVLFQBBRSMWHX-DHUJRADRSA-N,,442
CHEMBL1802727,RKUMZEVCWKZXFV-LCLDVOFVSA-N,,442
CHEMBL258721,RSQPNXBTPUXMQN-UHFFFAOYSA-N,,442
CHEMBL1289494,SPMVMDHWKHCIDT-UHFFFAOYSA-N,TIVOZANIB,442
CHEMBL270724,SVJQCVOKYJWUBC-OWOJBTEDSA-N,,442
CHEMBL483847,WEVYNIUIFUYDGI-UHFFFAOYSA-N,,442
CHEMBL226838,WGZOTBUYUFBEPZ-UHFFFAOYSA-N,,442
CHEMBL306498,WVMANZPBOBRWCB-UHFFFAOYSA-N,ALOISINE,442
CHEMBL13485,XPLJEFSRINKZLC-ATVHPVEESA-N,SU-11652,442
CHEMBL2218936,YIECEZWWJSWRJN-MYYYXRDXSA-N,,442
CHEMBL2218939,YYDPEIRKANIXMV-XUTLUUPISA-N,,442
CHEMBL2218930,ZXGIBSBJQLLUEE-UHFFFAOYSA-N,,442
CHEMBL1287853,JOOXLOJCABQBSG-UHFFFAOYSA-N,FEDRATINIB,438
CHEMBL603469,UIARLYUEJFELEN-LROUJFHJSA-N,CEP-701,435
CHEMBL1908397,YYLKKYCXAOBSRM-JXMROGBWSA-N,KW-2449,435
CHEMBL1721885,CTNPALGJUAXMMC-PMFHANACSA-N,SU-014813,433
CHEMBL522892,PIQCTGMSNWUMAF-UHFFFAOYSA-N,SB-203580,433
CHEMBL386051,VAARYSWULJUGST-UHFFFAOYSA-N,PD-173955,427
CHEMBL428690,BIIVYFLTOXDAOV-YVEFUNNKSA-N,FLAVOPIRIDOL,425
CHEMBL1789941,HFNKQEVNSGCOJV-OAHLLOKOSA-N,RUXOLITINIB,424
CHEMBL450786,OYONTEXKYJZFHA-SSHUPFPWSA-N,PHA-665752,423
CHEMBL513909,XQVVPGYIWAGRNI-JOCHJYFZSA-N,BI-2536,423
CHEMBL572881,RAHBGWKEPAQNFF-UHFFFAOYSA-N,AMG-706,421
CHEMBL230011,UJIAQDJKSXQLIT-UHFFFAOYSA-N,TG-100-115,420
CHEMBL558752,YABJJWZLRMPFSI-UHFFFAOYSA-N,CHIR-265/RAF-265,419
CHEMBL31965,OMZCMEYTWSXEPZ-UHFFFAOYSA-N,CI-1033,418
CHEMBL1289926,RITAVMQDGBJQJZ-FMIVXFBMSA-N,AXITINIB,418
CHEMBL601719,KTEIFNKAUNYNJU-GFCCVEGCSA-N,CRIZOTINIB,417
CHEMBL300138,AXRCEOKUDYDWLF-UHFFFAOYSA-N,ENZASTAURIN,415
CHEMBL180022,JWNPDZNEKVCWMY-VQHVLOKHSA-N,NERATINIB,415
CHEMBL1908396,SHPFDGWALWEPGS-UHFFFAOYSA-N,KI-20227,415
CHEMBL464552,HZTYDQRUAWIZRE-UHFFFAOYSA-N,GSK-1838705A,414
CHEMBL521851,LHNIIDJUOCFXAP-UHFFFAOYSA-N,GDC-0941,414
CHEMBL1173655,ULXXDDBFHOBEHA-CWDCEQMOSA-N,AFATINIB,414
CHEMBL1230020,YZDJQTHVDDOVHR-UHFFFAOYSA-N,PLX-4720,413
CHEMBL377300,WCWUXEGQKLTGDX-LLVKDONJSA-N,BMS-540215,412
CHEMBL494089,KGPGFQWBCSZGEL-ZDUSSCGKSA-N,GSK-690693,410
CHEMBL1908394,ZHJGWYRLJUCMRT-QGZVFWFLSA-N,GSK-461364A,410
CHEMBL379218,BPNUQXPIQBZCMR-IBGZPJMESA-N,A-674563,409
CHEMBL576982,CVWXJKQAOSCOAB-UHFFFAOYSA-N,AC220,409
CHEMBL1614701,CYOHGALHFOKKQC-UHFFFAOYSA-N,SELUMETINIB,408
CHEMBL384304,JRNJNYBQQYBCLE-UHFFFAOYSA-N,R547,408
CHEMBL525191,DEZZLWQELQORIU-RELWKKBWSA-N,GDC-0879,407
CHEMBL1236107,BCZUAADEACICHN-UHFFFAOYSA-N,SGX-523,405
CHEMBL445813,OVPNQJVDAFNBDN-UHFFFAOYSA-N,AT-7519,405
CHEMBL608154,ZNOLRTPMNMPLHY-UHFFFAOYSA-N,MLN-120B,405
CHEMBL576349,JBJYTZXCZDNOJW-UHFFFAOYSA-N,IC261,336
CHEMBL577784,VAVXGGRQQJZYBL-UHFFFAOYSA-N,BX-795,333
